"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033333","BP","GO:0033333","fin development","9/96","113/18057",8.77311304784513e-09,6.32509164954745e-06,5.89852453209748e-06,"555681/794108/323481/100331874/566702/321243/794315/337158/100216326",9
"GO:0048736","BP","GO:0048736","appendage development","9/96","121/18057",1.60331854234409e-08,6.32509164954745e-06,5.89852453209748e-06,"555681/794108/323481/100331874/566702/321243/794315/337158/100216326",9
"GO:0033334","BP","GO:0033334","fin morphogenesis","6/96","63/18057",1.02610275268968e-06,0.000267207143925279,0.000249186570080408,"555681/794108/100331874/321243/337158/100216326",6
"GO:0035107","BP","GO:0035107","appendage morphogenesis","6/96","66/18057",1.35466232661738e-06,0.000267207143925279,0.000249186570080408,"555681/794108/100331874/321243/337158/100216326",6
"GO:0046148","BP","GO:0046148","pigment biosynthetic process","4/96","32/18057",2.40654903050652e-05,0.00379753437013929,0.00354142688910328,"30207/393724/100333145/58074",4
"GO:0019748","BP","GO:0019748","secondary metabolic process","3/96","14/18057",5.08027463964821e-05,0.0066805611511374,0.00623002100546334,"30207/100333145/58074",3
"GO:0042440","BP","GO:0042440","pigment metabolic process","4/96","41/18057",6.53361240344357e-05,0.0073643145518814,0.00686766175940911,"30207/393724/100333145/58074",4
"GO:0046189","BP","GO:0046189","phenol-containing compound biosynthetic process","3/96","17/18057",9.38133157453343e-05,0.00925233826538359,0.00862835627710377,"30207/100333145/58074",3
"GO:0032438","BP","GO:0032438","melanosome organization","3/96","18/18057",0.000112142367570463,0.00983114755701055,0.00916813040137466,"30207/562810/100333145",3
"GO:0048753","BP","GO:0048753","pigment granule organization","3/96","19/18057",0.000132656243592442,0.0104665776194436,0.0097607067653807,"30207/562810/100333145",3
"GO:0009065","BP","GO:0009065","glutamine family amino acid catabolic process","3/96","23/18057",0.000238739119831252,0.0171241059588053,0.0159692483025881,"564147/60658/619259",3
"GO:0021872","BP","GO:0021872","forebrain generation of neurons","3/96","27/18057",0.000388273654665999,0.0255289927942895,0.0238073056676784,"404603/100329456/58074",3
"GO:0033339","BP","GO:0033339","pectoral fin development","4/96","73/18057",0.000616716666081786,0.0374299576568099,0.0349056639345075,"794108/323481/321243/337158",4
"GO:0018958","BP","GO:0018958","phenol-containing compound metabolic process","3/96","35/18057",0.000842468412887475,0.0474791126977298,0.0442770992938605,"30207/100333145/58074",3
"GO:0042470","CC","GO:0042470","melanosome","4/99","29/18405",1.68701173919877e-05,0.000995336926127274,0.000932295961136162,"30207/562810/100333145/58074",4
"GO:0048770","CC","GO:0048770","pigment granule","4/99","29/18405",1.68701173919877e-05,0.000995336926127274,0.000932295961136162,"30207/562810/100333145/58074",4
"GO:0030312","CC","GO:0030312","external encapsulating structure","9/99","304/18405",3.8304168602021e-05,0.00112997297375962,0.00105840465874005,"555681/567428/100149890/321243/337158/565474/100216326/797559/100294690",9
"GO:0031012","CC","GO:0031012","extracellular matrix","9/99","304/18405",3.8304168602021e-05,0.00112997297375962,0.00105840465874005,"555681/567428/100149890/321243/337158/565474/100216326/797559/100294690",9
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","6/99","156/18405",0.000197155337688346,0.00465286596944496,0.00435817062258448,"555681/567428/100149890/321243/100216326/797559",6
"GO:0005604","CC","GO:0005604","basement membrane","3/99","47/18405",0.00206186146228664,0.0405499420916373,0.0379816585158066,"567428/321243/100216326",3
